Rang;Produkt;Gramm;Stück;Umsatz EUR;Stück Aktion1;Stück Aktion2
1;"#RAW STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";1425;57;4089;16;41
2;"#BITTER CACAO STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";1275;51;3698;0;51
3;"#NORVEGIAN STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";1200;48;3480;4;44
4;"#FROSTY - INVISIBLE CLIP EXTENSIONS - GESTRÄHNTES MITTELBRAUN PEARL UND LICHTBLOND ASCH ♡ › 225g";1125;5;1617;2;3
5;"#EBONY STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";1100;44;3103;16;28
6;"#PEARL WHITE MINI TAPE EXTENSIONS RU GLATT ♡";800;16;2429;7;9
7;"#COOL TONED STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";800;32;2320;0;32
8;"#LATTE BALAYAGE MINI TAPE EXTENSIONS RU GLATT";750;15;2074;10;5
9;"#BITTER CACAO MINI TAPE EXTENSIONS RU GLATT - DUNKELBRAUN ♡";700;14;1842;14;0
10;"#TOFFEE STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";700;28;2030;10;18
11;"#CARAMEL FUDGE STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";675;27;1921;5;22
12;"#CAPPUCCINO - INVISIBLE CLIP EXTENSIONS - DUNKELBLOND ASCH ♡ › 225g";675;3;653;2;1
13;"#DUBAI - INVISIBLE CLIP EXTENSIONS ♡ › 225g";675;3;990;2;1
14;"#BUTTER CREAM MINI TAPE EXTENSIONS RU GLATT ♡";650;13;1769;11;2
15;"#COLDNESS STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";625;25;1747;10;15
16;"#AUTUMN RUSSISCHE BONDINGS GLATT 1G";600;24;1711;14;10
17;"#COOL TONED - INVISIBLE CLIP EXTENSIONS - BALAYAGE MITTELASCHBRAUN ♡ › 150g";600;4;878;1;3
18;"#NORVEGIAN MINI TAPE EXTENSIONS RU GLATT ♡";600;12;1726;4;8
19;"#MACADAMIA GLOW STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";575;23;1668;0;23
20;"#EBONY MINI TAPE EXTENSIONS RU GLATT - TIEFSCHWARZ ♡";550;11;1581;1;10
21;"#MOCHAMELT STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";500;20;1421;8;12
22;"#COOL TONED MINI TAPE EXTENSIONS RU GLATT ♡";500;10;1378;7;3
23;"#PLATIN STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";450;18;1356;8;10
24;"#FAWN MINI TAPE EXTENSIONS RU GLATT ♡";450;9;1276;5;4
25;"#SHINY - INVISIBLE CLIP EXTENSIONS - LICHTBLOND ASCH ♡ › 225g";450;2;627;1;1
26;"#TOFFEE - INVISIBLE CLIP EXTENSIONS ♡ › 225g";450;2;627;1;1
27;"#DESERT - INVISIBLE CLIP EXTENSIONS - OMBRES HELLBRAUN UND HELLBLOND GOLD ♡ › 225g";450;2;660;0;2
28;"#DIRTY BLOND STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";450;18;1291;2;16
29;"#SHINY - INVISIBLE CLIP EXTENSIONS - LICHTBLOND ASCH ♡ › 150g";450;3;653;1;2
30;"#RAW RUSSISCHE BONDINGS GLATT 1G";425;17;1233;12;5
31;"#FROSTY STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";425;17;1182;7;10
32;"#SHINY MINI TAPE EXTENSIONS RU GLATT ♡";400;8;1102;4;4
33;"#COOL TONED GENIUS WEFT RUSSISCHES GLATTES HAAR  60CM ♡";400;8;1482;5;3
