Rang;Produkt;Gramm;Stück;Umsatz EUR;Stück Aktion1;Stück Aktion2
1;"#1A SCHWARZE US WELLIGE TAPE EXTENSIONS 65CM ♡";3450;138;6706;35;103
2;"#NATURAL SCHWARZBRAUNE US WELLIGE TAPE EXTENSIONS 65CM ♡";3275;131;6144;85;46
3;"#PEARL WHITE WEIßBLONDE US WELLIGE TAPE EXTENSIONS 65CM ♡";2500;100;5474;27;73
4;"#2E DUNKELBRAUNE US WELLIGE TAPE EXTENSIONS 65CM ♡";2100;84;3985;46;38
5;"#SILVER  ASCHBLONDE US WELLIGE TAPE EXTENSIONS 65CM ♡";2025;81;3920;34;47
6;"#SOFT BLOND BALAYAGE ASCHBLOND US WELLIGE TAPE  EXTENSIONS 65CM ♡";1875;75;3617;40;35
7;"#4/27T24 US WELLIGE TAPE EXTENSIONS  65CM ♡";1800;72;3114;25;47
8;"#1A SCHWARZE TAPE EXTENSIONS 55CM ♡";1725;69;3142;43;26
9;"#PEARL WHITE WEIßBLONDE US WELLIGE TAPE EXTENSIONS 55CM ♡";1550;62;3211;18;44
10;"#PEARL WHITE US WELLIGE KERATIN BONDINGS WEIßBLOND 65CM ♡";1475;59;3166;35;24
11;"#3A KÜHLES MITTELBRAUN US WELLIGE TAPE EXTENSIONS 55CM ♡";1425;57;2622;29;28
12;"#NORVEGIAN KÜHLES BLOND US WELLIGE TAPE EXTENSIONS 55CM ♡";1400;56;2537;40;16
13;"#VIKING BLOND KÜHLES BLOND  US WELLIGE GESTRÄHNT TAPE EXTENSIONS 65CM ♡";1400;56;2607;39;17
14;"#2E DUNKELBRAUNE US WELLIGE TAPE EXTENSIONS 55CM ♡";1400;56;2580;28;28
15;"#NORVEGIAN KÜHLES BLOND US WELLIGE TAPE EXTENSIONS 65CM ♡";1375;55;2662;25;30
16;"#NATURAL SCHWARZBRAUNE  US WELLIGE TAPE EXTENSIONS 55CM ♡";1350;54;2447;29;25
17;"#2A ASCHBRAUNE  US WELLIGE TAPE EXTENSIONS 55CM ♡";1350;54;2471;39;15
18;"#1A SCHWARZ  US WELLIGE KERATIN BONDINGS SCHWARZE 65CM ♡";1250;50;2463;13;37
19;"#2A ASCHBRAUNE US WELLIGE TAPE EXTENSIONS 65CM ♡";1225;49;2338;20;29
20;"#5P18A ASCHIG GESTRÄHNTE US WELLIGE TAPE EXTENSIONS 55CM ♡";1150;46;2088;36;10
21;"#2 SCHOKOBRAUNE US WELLIGE TAPE EXTENSIONS 65CM ♡";1075;43;2089;18;25
22;"#5P18A ASCHIG GESTRÄHNTE US WELLIGE TAPE EXTENSIONS 65CM ♡";1050;42;1955;29;13
23;"#SILVER ASCHBLONDE US WELLIGE 55CM TAPE EXTESNIONS";1025;41;1866;26;15
24;"#SOFT BLOND BALAYAGE ASCHBLOND US WELLIGE TAPE EXTENSIONS 55CM ♡";1000;40;1800;27;13
25;"#5T18A OMBRÉ KÜHLES BLOND US WELLIGE TAPE EXTENSIONS 65CM ♡";1000;40;1905;18;22
26;"#5A KÜHLES HELLBRAUN  US WELLIGE TAPE EXTENSIONS 55CM ♡";950;38;1691;22;16
27;"#DUBAI US WELLIGE TAPE EXTENSIONS 55CM ♡";900;36;1644;19;17
28;"#NORVEGIAN US WELLIGE KERATIN BONDINGS KÜHLES BLOND 65CM ♡";875;35;1632;23;12
29;"#4/27T24 US WELLIGE KERATIN BONDINGS 65CM ♡";875;35;1701;14;21
30;"#2 SCHOKOBRAUNE US WELLIGE TAPE EXTENSIONS 55CM ♡";850;34;1564;22;12
31;"#24A SANDBLONDE US WELLIGE TAPE EXTENSIONS 55CM ♡";825;33;1540;19;14
32;"#VIKING BLOND US WELLIGE KERATIN BONDINGS  KÜHLES BLOND GESTRÄHNT 65CM ♡";825;33;1592;15;18
33;"#5T18A US WELLIGE KERATIN BONDINGS KÜHLES BLOND OMBRÉ 65CM ♡";800;32;1562;13;19
34;"#5T18A OMBRÉ KÜHLES BLOND US WELLIGE TAPE EXTENSIONS 55CM ♡";800;32;1422;30;2
35;"#2E DUNKELBRAUNE US WELLIGE KERATIN BONDINGS 65CM ♡";800;32;1542;10;22
36;"#4/27T24  US WELLIGE TAPE EXTENSIONS 55CM ♡";775;31;1413;17;14
37;"#2A ASCHBRAUNE  US WELLIGE KERATIN BONDINGS ASCHBRAUN 65CM ♡";750;30;1493;0;30
38;"#3T8A US WELLIGE KERATIN BONDINGS 65CM ♡";725;29;1428;3;26
39;"#BERGEN BLOND OMBRÉ SANDBLONDE US WELLIGE TAPE EXTENSIONS 65CM ♡";725;29;1398;9;20
40;"#PEARL WHITE WEIßBLOND US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";700;14;1478;9;5
41;"#1A SCHWARZE 45CM TAPE EXTENSIONS ♡";700;28;1208;16;12
42;"#NATURAL SCHWARZBRAUNE 45CM TAPE EXTENSIONS  ♡";700;28;1235;16;12
43;"#5T18A 45CM TAPE EXTENSIONS ♡";675;27;1190;4;23
44;"#DUBAI US WELLIGE KERATIN BONDINGS 65CM ♡";675;27;1288;11;16
45;"#PEARL WHITE 45CM TAPE EXTENSIONS ♡";650;26;1262;8;18
46;"#99J DUNKLE KIRSCHE  US WELLIGE TAPE EXTENSIONS 55CM ♡";650;26;1205;10;16
47;"#NATURAL US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS♡";650;13;1386;4;9
48;"#60 PLATINBLONDE US WELLIGE TAPE EXTENSIONS 65CM ♡";625;25;1274;13;12
49;"#5A MITTELASCHBRAUNE US WELLIGE KERATIN BONDINGS KÜHLES HELLBRAUN 65CM ♡";625;25;1184;12;13
50;"#VIKING BLOND KÜHLES BLOND GESTRÄHNT  US WELLIGE TAPE EXTENSIONS 55CM ♡";625;25;1162;9;16
51;"#24A SAND BLONDE US WELLIGE TAPE EXTENSIONS 65CM ♡";625;25;1149;19;6
52;"#BERGEN BLOND OMBRÉ SANDBLOND US WELLIGE TAPE EXTENSIONS 55CM ♡";625;25;1172;8;17
53;"#3A KÜHLES MITTELBRAUN US WELLIGE KERATIN BONDINGS KÜHLES 65CM MITTELBRAUN ♡";625;25;1209;10;15
54;"#MOCHA MELT BALAYAGE BRAUN US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";600;12;1254;8;4
55;"#5A KÜHLES HELLBRAUN  US WELLIGE TAPE EXTENSIONS 65CM ♡";600;24;1159;10;14
56;"#2E DUNKELBRAUNE US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM";600;12;1320;0;12
57;"#3A KÜHLES  MITTELBRAUN US WELLIGE TAPE EXTENSIONS 65CM ♡";575;23;1099;14;9
58;"#2E DUNKELBRAUNE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";550;11;1065;6;5
59;"#MOCHA MELT BRAUNE BALAYAGE US WELLIGE TAPE EXTENSIONS 65CM ♡";525;21;1015;8;13
60;"#5M/SILVER  US WELLIGE TAPE EXTENSIONS 65CM ♡";525;21;965;21;0
61;"#NATURAL PONYTAIL 130G - 65CM › 130 g";520;4;778;3;1
62;"#NATURAL US WELLIGE TAPE 85CM ♡";500;20;1330;5;15
63;"#6 HASELNUSSBRAUNE US WELLIGE TAPE EXTENSIONS 65CM ♡";475;19;905;12;7
64;"#2T18A US WELLIGE KERATIN BONDINGS OMRBÉ KÜHLES BLOND 65CM ♡";475;19;920;8;11
65;"#NORVEGIAN KÜHLES BLOND US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";450;9;946;4;5
66;"#2A ASCHBRAUNE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";450;9;816;8;1
67;"#1A SCHWARZE US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";450;9;886;2;7
68;"#SOFT BLOND BALAYAGE US WELLIGE KERATIN BONDINGS GESTRÄHNT BALAYAGE 65CM ♡";425;17;826;8;9
69;"#5P18A 45CM TAPE EXTENSIONS ♡";400;16;685;8;8
70;"#5P18A GESTRÄHNTE US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";400;8;836;5;3
71;"#BERGEN BLOND 45CM  TAPE EXTENSIONS  ♡";400;16;716;0;16
72;"#4 SAMTBRAUNE US WELLIGE TAPE EXTENSIONS 55CM ♡";400;16;728;9;7
