Rang;Produkt;Gramm;Stück;Umsatz EUR;Stück Aktion1;Stück Aktion2
1;"#1A SCHWARZE US WELLIGE TAPE EXTENSIONS 65CM ♡";3450;138;6706;35;103
2;"#NATURAL SCHWARZBRAUNE US WELLIGE TAPE EXTENSIONS 65CM ♡";3275;131;6144;85;46
3;"#PEARL WHITE WEIßBLONDE US WELLIGE TAPE EXTENSIONS 65CM ♡";2500;100;5474;27;73
4;"#2E DUNKELBRAUNE US WELLIGE TAPE EXTENSIONS 65CM ♡";2100;84;3985;46;38
5;"#SILVER  ASCHBLONDE US WELLIGE TAPE EXTENSIONS 65CM ♡";2025;81;3920;34;47
6;"#SOFT BLOND BALAYAGE ASCHBLOND US WELLIGE TAPE  EXTENSIONS 65CM ♡";1875;75;3617;40;35
7;"#4/27T24 US WELLIGE TAPE EXTENSIONS  65CM ♡";1800;72;3114;25;47
8;"#1A SCHWARZE TAPE EXTENSIONS 55CM ♡";1725;69;3142;43;26
9;"#PEARL WHITE WEIßBLONDE US WELLIGE TAPE EXTENSIONS 55CM ♡";1550;62;3211;18;44
10;"#PEARL WHITE US WELLIGE KERATIN BONDINGS WEIßBLOND 65CM ♡";1475;59;3166;35;24
11;"#3A KÜHLES MITTELBRAUN US WELLIGE TAPE EXTENSIONS 55CM ♡";1425;57;2622;29;28
12;"#RAW STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";1425;57;4089;16;41
13;"#NORVEGIAN KÜHLES BLOND US WELLIGE TAPE EXTENSIONS 55CM ♡";1400;56;2537;40;16
14;"#VIKING BLOND KÜHLES BLOND  US WELLIGE GESTRÄHNT TAPE EXTENSIONS 65CM ♡";1400;56;2607;39;17
15;"#2E DUNKELBRAUNE US WELLIGE TAPE EXTENSIONS 55CM ♡";1400;56;2580;28;28
16;"#NORVEGIAN KÜHLES BLOND US WELLIGE TAPE EXTENSIONS 65CM ♡";1375;55;2662;25;30
17;"#NATURAL SCHWARZBRAUNE  US WELLIGE TAPE EXTENSIONS 55CM ♡";1350;54;2447;29;25
18;"#2A ASCHBRAUNE  US WELLIGE TAPE EXTENSIONS 55CM ♡";1350;54;2471;39;15
19;"#BITTER CACAO STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";1275;51;3698;0;51
20;"#1A SCHWARZ  US WELLIGE KERATIN BONDINGS SCHWARZE 65CM ♡";1250;50;2463;13;37
21;"#2A ASCHBRAUNE US WELLIGE TAPE EXTENSIONS 65CM ♡";1225;49;2338;20;29
22;"#NORVEGIAN STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";1200;48;3480;4;44
23;"#5P18A ASCHIG GESTRÄHNTE US WELLIGE TAPE EXTENSIONS 55CM ♡";1150;46;2088;36;10
24;"#FROSTY - INVISIBLE CLIP EXTENSIONS - GESTRÄHNTES MITTELBRAUN PEARL UND LICHTBLOND ASCH ♡ › 225g";1125;5;1617;2;3
25;"#EBONY STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";1100;44;3103;16;28
26;"#2 SCHOKOBRAUNE US WELLIGE TAPE EXTENSIONS 65CM ♡";1075;43;2089;18;25
27;"#5P18A ASCHIG GESTRÄHNTE US WELLIGE TAPE EXTENSIONS 65CM ♡";1050;42;1955;29;13
28;"#SILVER ASCHBLONDE US WELLIGE 55CM TAPE EXTESNIONS";1025;41;1866;26;15
29;"#SOFT BLOND BALAYAGE ASCHBLOND US WELLIGE TAPE EXTENSIONS 55CM ♡";1000;40;1800;27;13
30;"#5T18A OMBRÉ KÜHLES BLOND US WELLIGE TAPE EXTENSIONS 65CM ♡";1000;40;1905;18;22
31;"#5A KÜHLES HELLBRAUN  US WELLIGE TAPE EXTENSIONS 55CM ♡";950;38;1691;22;16
32;"#DUBAI US WELLIGE TAPE EXTENSIONS 55CM ♡";900;36;1644;19;17
33;"#NORVEGIAN US WELLIGE KERATIN BONDINGS KÜHLES BLOND 65CM ♡";875;35;1632;23;12
34;"#4/27T24 US WELLIGE KERATIN BONDINGS 65CM ♡";875;35;1701;14;21
35;"#2 SCHOKOBRAUNE US WELLIGE TAPE EXTENSIONS 55CM ♡";850;34;1564;22;12
36;"#24A SANDBLONDE US WELLIGE TAPE EXTENSIONS 55CM ♡";825;33;1540;19;14
37;"#VIKING BLOND US WELLIGE KERATIN BONDINGS  KÜHLES BLOND GESTRÄHNT 65CM ♡";825;33;1592;15;18
38;"#5T18A US WELLIGE KERATIN BONDINGS KÜHLES BLOND OMBRÉ 65CM ♡";800;32;1562;13;19
39;"#5T18A OMBRÉ KÜHLES BLOND US WELLIGE TAPE EXTENSIONS 55CM ♡";800;32;1422;30;2
40;"#PEARL WHITE MINI TAPE EXTENSIONS RU GLATT ♡";800;16;2429;7;9
41;"#COOL TONED STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";800;32;2320;0;32
42;"#2E DUNKELBRAUNE US WELLIGE KERATIN BONDINGS 65CM ♡";800;32;1542;10;22
43;"#4/27T24  US WELLIGE TAPE EXTENSIONS 55CM ♡";775;31;1413;17;14
44;"#LATTE BALAYAGE MINI TAPE EXTENSIONS RU GLATT";750;15;2074;10;5
45;"#2A ASCHBRAUNE  US WELLIGE KERATIN BONDINGS ASCHBRAUN 65CM ♡";750;30;1493;0;30
46;"#3T8A US WELLIGE KERATIN BONDINGS 65CM ♡";725;29;1428;3;26
47;"#BERGEN BLOND OMBRÉ SANDBLONDE US WELLIGE TAPE EXTENSIONS 65CM ♡";725;29;1398;9;20
48;"#BITTER CACAO MINI TAPE EXTENSIONS RU GLATT - DUNKELBRAUN ♡";700;14;1842;14;0
49;"#PEARL WHITE WEIßBLOND US WELLIGE TRESSEN CLASSIC ECHTHAAR  65CM ♡";700;14;1478;9;5
50;"#1A SCHWARZE 45CM TAPE EXTENSIONS ♡";700;28;1208;16;12
51;"#NATURAL SCHWARZBRAUNE 45CM TAPE EXTENSIONS  ♡";700;28;1235;16;12
52;"#TOFFEE STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";700;28;2030;10;18
53;"#CARAMEL FUDGE STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";675;27;1921;5;22
54;"#5T18A 45CM TAPE EXTENSIONS ♡";675;27;1190;4;23
55;"#CAPPUCCINO - INVISIBLE CLIP EXTENSIONS - DUNKELBLOND ASCH ♡ › 225g";675;3;653;2;1
56;"#DUBAI - INVISIBLE CLIP EXTENSIONS ♡ › 225g";675;3;990;2;1
57;"#DUBAI US WELLIGE KERATIN BONDINGS 65CM ♡";675;27;1288;11;16
58;"#BUTTER CREAM MINI TAPE EXTENSIONS RU GLATT ♡";650;13;1769;11;2
59;"#PEARL WHITE 45CM TAPE EXTENSIONS ♡";650;26;1262;8;18
60;"#99J DUNKLE KIRSCHE  US WELLIGE TAPE EXTENSIONS 55CM ♡";650;26;1205;10;16
61;"#NATURAL US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS♡";650;13;1386;4;9
62;"#60 PLATINBLONDE US WELLIGE TAPE EXTENSIONS 65CM ♡";625;25;1274;13;12
63;"#5A MITTELASCHBRAUNE US WELLIGE KERATIN BONDINGS KÜHLES HELLBRAUN 65CM ♡";625;25;1184;12;13
64;"#VIKING BLOND KÜHLES BLOND GESTRÄHNT  US WELLIGE TAPE EXTENSIONS 55CM ♡";625;25;1162;9;16
65;"#COLDNESS STANDARD RUSSISCHE TAPE EXTENSIONS GLATT ♡";625;25;1747;10;15
66;"#24A SAND BLONDE US WELLIGE TAPE EXTENSIONS 65CM ♡";625;25;1149;19;6
67;"#BERGEN BLOND OMBRÉ SANDBLOND US WELLIGE TAPE EXTENSIONS 55CM ♡";625;25;1172;8;17
68;"#3A KÜHLES MITTELBRAUN US WELLIGE KERATIN BONDINGS KÜHLES 65CM MITTELBRAUN ♡";625;25;1209;10;15
69;"#MOCHA MELT BALAYAGE BRAUN US WELLIGE TRESSEN ECHTHAAR GENIUS WEFT EXTENSIONS 65CM♡";600;12;1254;8;4
70;"#5A KÜHLES HELLBRAUN  US WELLIGE TAPE EXTENSIONS 65CM ♡";600;24;1159;10;14
71;"#AUTUMN RUSSISCHE BONDINGS GLATT 1G";600;24;1711;14;10
72;"#COOL TONED - INVISIBLE CLIP EXTENSIONS - BALAYAGE MITTELASCHBRAUN ♡ › 150g";600;4;878;1;3
73;"#NORVEGIAN MINI TAPE EXTENSIONS RU GLATT ♡";600;12;1726;4;8
